"id";"day";"itinerary_name";"description";"reference_id";"tour_id";"created_at";"updated_at"
1;1;"Arrival and Orientation";"Arrival in Paris and evening city tour.";"445c54d1-fad2-8ceb-179e-8b7652ae83f0";1;"2025-01-30 09:05:53";"2025-01-30 09:05:53"
2;2;"Eiffel Tower and Seine Cruise";"Visit Eiffel Tower and enjoy a Seine River cruise.";"4f903b04-4a48-e839-f9cc-7a1f8249e501";1;"2025-01-30 09:05:53";"2025-01-30 09:05:53"
3;1;"Arrival and Shibuya Exploration";"Arrive in Tokyo, explore Shibuya Crossing and nearby attractions.";"953fac84-94ca-c233-1ea5-bac22655e3c9";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
4;2;"Tokyo Disneyland Adventure";"Spend the whole day at Tokyo Disneyland enjoying rides and attractions.";"da1ab4e5-43da-7b33-adb6-4e6943e6829c";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
5;3;"Cultural Tour of Asakusa";"Visit Senso-ji Temple and explore Nakamise Shopping Street.";"5b9cce1e-1284-72cc-de80-5cf2a8942455";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
6;4;"Mount Fuji Day Trip";"Take a scenic tour to Mount Fuji and Hakone with a hot spring visit.";"ae069a97-6368-512f-405d-dd498f79ea7a";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
7;5;"Shopping and Departure";"Shop in Ginza and Akihabara before heading to the airport.";"5fe56c1e-7add-81ff-cbff-f4426e7684eb";2;"2025-01-30 09:10:26";"2025-01-30 09:10:26"
8;1;"Arrival in Kochi";"Explore Fort Kochi, Chinese Fishing Nets, and Kathakali dance performance.";"46ca6816-fea0-7a55-7117-a1b0417ef990";3;"2025-01-30 09:29:30";"2025-01-30 09:29:30"
9;2;"Munnar Hills Tour";"Visit tea plantations, Mattupetty Dam, and Echo Point.";"cae23e01-a780-0f99-79fb-459ebf7160fc";3;"2025-01-30 09:29:30";"2025-01-30 09:29:30"
10;3;"Alleppey Houseboat Stay";"Enjoy a luxurious houseboat cruise through the scenic backwaters.";"3420db34-49a7-ad4f-658b-7f4d59976e95";3;"2025-01-30 09:29:30";"2025-01-30 09:29:30"
11;4;"Departure via Kovalam Beach";"Relax at Kovalam Beach before heading to the airport.";"80ff194c-737c-0a1e-6d61-bad30eff95b4";3;"2025-01-30 09:29:30";"2025-01-30 09:29:30"
12;1;"Arrival in Leh";"Arrive in Leh, the capital of Ladakh. Explore Leh Palace, Shanti Stupa, and the local market.";"e3375469-101e-e7be-901e-d3815f024a16";4;"2025-02-10 15:07:14";"2025-02-10 15:07:14"
